Date,Open,High,Low,Close,Volume,Ticker
2025-09-17,353.18,365,353.18,362.07,6449922,NASDAQ:ADBE
2025-09-18,366.86,370.86,365.85,367.46,4752377,NASDAQ:ADBE
2025-09-19,368.94,370.31,362.54,365.9,7693030,NASDAQ:ADBE
2025-09-22,364.16,365.38,359.36,364.08,4709584,NASDAQ:ADBE
2025-09-23,364.18,368.73,361.3,361.78,3831134,NASDAQ:ADBE
2025-09-24,355.6,355.6,347.8,353.27,6140007,NASDAQ:ADBE
2025-09-25,351.91,357,351.5,354.16,3336731,NASDAQ:ADBE
2025-09-26,353.71,360.72,352.78,360.37,3072990,NASDAQ:ADBE
2025-09-29,362.04,363.17,358.8,359.42,4075860,NASDAQ:ADBE
2025-09-30,360.54,362,349.9,352.75,5360695,NASDAQ:ADBE
2025-10-01,347.16,349.83,340.05,343.72,6505709,NASDAQ:ADBE
2025-10-02,343.76,351.73,342.42,351.48,3955434,NASDAQ:ADBE
2025-10-03,352,352.59,346.31,346.74,3122111,NASDAQ:ADBE
2025-10-06,346.93,357.34,342.04,350.14,5340202,NASDAQ:ADBE
2025-10-07,352.59,353.33,344.24,348.31,3275506,NASDAQ:ADBE
2025-10-08,350,354.05,347.52,348.77,3285027,NASDAQ:ADBE
2025-10-09,349.77,350.6,344.3,347.47,2895504,NASDAQ:ADBE
2025-10-10,347.91,348.72,336.94,337.51,4282397,NASDAQ:ADBE
2025-10-13,339.25,340.28,335.61,339.32,3020060,NASDAQ:ADBE
2025-10-14,335.22,338.82,332.72,335.94,3036889,NASDAQ:ADBE
2025-10-15,335.42,335.6,329.21,330.63,3929948,NASDAQ:ADBE
2025-10-16,333.86,336.65,327.5,329.23,4570870,NASDAQ:ADBE
2025-10-17,327.75,335.1,327.7,333.26,4035035,NASDAQ:ADBE
2025-10-20,334.64,344.2,334.25,343.4,3903166,NASDAQ:ADBE
2025-10-21,343.59,358.37,343.32,357.55,4389672,NASDAQ:ADBE
2025-10-22,355.48,360.19,352.87,354.09,3436003,NASDAQ:ADBE
2025-10-23,352.51,354.35,348.71,354.12,2408077,NASDAQ:ADBE
2025-10-24,357.21,358.1,353.29,353.52,2016850,NASDAQ:ADBE
2025-10-27,355.57,358.56,352.41,357.8,2828152,NASDAQ:ADBE
2025-10-28,360,363.7,357.8,359.91,3005594,NASDAQ:ADBE
2025-10-29,355.52,355.52,337.05,337.86,6746464,NASDAQ:ADBE
2025-10-30,338.2,344.7,333.1,339.24,4373224,NASDAQ:ADBE
2025-10-31,338.7,341.26,336.8,340.31,3763381,NASDAQ:ADBE
2024-10-30,294.98,311.91,292.11,299.97,834422,NASDAQ:DUOL
2024-10-31,297.49,298.76,285.33,292.97,535996,NASDAQ:DUOL
2024-11-01,292.98,297.66,290.63,293.68,380103,NASDAQ:DUOL
2024-11-04,289.7,295.81,285.85,290.65,484634,NASDAQ:DUOL
2024-11-05,295.05,303.74,293.63,303,763352,NASDAQ:DUOL
2024-11-06,310,319.44,304,318.85,1105409,NASDAQ:DUOL
2024-11-07,304.42,324,299.13,315.82,1236853,NASDAQ:DUOL
2024-11-08,318.7,330.61,314.63,326.89,682721,NASDAQ:DUOL
2024-11-11,325.8,328.97,306.74,318.23,650590,NASDAQ:DUOL
2024-11-12,317.63,322.85,313.19,314.33,476715,NASDAQ:DUOL
2024-11-13,317,329.19,315.93,323.43,515069,NASDAQ:DUOL
2024-11-14,322.65,324.08,316.2,322.57,283775,NASDAQ:DUOL
2024-11-15,319.01,320.5,306.5,307.32,570863,NASDAQ:DUOL
2024-11-18,307.82,316.99,301.11,306.92,468494,NASDAQ:DUOL
2024-11-19,303.33,322.79,303.33,322.07,647535,NASDAQ:DUOL
2024-11-20,323,331.84,322.34,331.14,545359,NASDAQ:DUOL
2024-11-21,338.15,342.51,330,341.6,559515,NASDAQ:DUOL
